Start Time, Nov. 21, 2018 at 02:36:43 PM
Energy calibration,  Offset: 0, Slope: 0.5, Quadratic: 0
Live Time (s), 85293.55
Real Time (s), 85585.65
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1023, 511.5, 658
1024, 512, 703
1025, 512.5, 714
1026, 513, 741
1027, 513.5, 717
1028, 514, 717
1029, 514.5, 689
1030, 515, 766
1031, 515.5, 998
1032, 516, 973
1033, 516.5, 746
1034, 517, 625
1035, 517.5, 663
1036, 518, 666
1037, 518.5, 627
1038, 519, 699
1039, 519.5, 678
1040, 520, 641
1041, 520.5, 649
1042, 521, 812
1043, 521.5, 1255
1044, 522, 1358
1045, 522.5, 839
1046, 523, 671
1047, 523.5, 668
1048, 524, 677
1049, 524.5, 623
1050, 525, 706
1051, 525.5, 630
1052, 526, 651
1053, 526.5, 670
1054, 527, 625
1055, 527.5, 613
1056, 528, 657
1057, 528.5, 696
1058, 529, 856
1059, 529.5, 801
1060, 530, 696
1061, 530.5, 603
1062, 531, 633
1063, 531.5, 602
1064, 532, 623
1065, 532.5, 625
1066, 533, 624
1067, 533.5, 575
1068, 534, 639
1069, 534.5, 623
1070, 535, 626
1071, 535.5, 621
1072, 536, 669
1073, 536.5, 647
1074, 537, 616
1075, 537.5, 648
1076, 538, 609
1077, 538.5, 643
1078, 539, 644
1079, 539.5, 666
1080, 540, 616
1081, 540.5, 626
1082, 541, 618
1083, 541.5, 641
1084, 542, 633
1085, 542.5, 684
1086, 543, 628
1087, 543.5, 612
1088, 544, 627
1089, 544.5, 659
1090, 545, 718
1091, 545.5, 704
1092, 546, 677
1093, 546.5, 642
1094, 547, 633
1095, 547.5, 582
1096, 548, 750
1097, 548.5, 908
1098, 549, 792
1099, 549.5, 637
1100, 550, 626
1101, 550.5, 720
1102, 551, 734
1103, 551.5, 825
1104, 552, 737
1105, 552.5, 603
1106, 553, 617
1107, 553.5, 579
1108, 554, 617
1109, 554.5, 597
1110, 555, 594
1111, 555.5, 595
1112, 556, 590
1113, 556.5, 597
1114, 557, 624
1115, 557.5, 617
1116, 558, 580
1117, 558.5, 621
1118, 559, 622
1119, 559.5, 619
1120, 560, 598
1121, 560.5, 590
1122, 561, 590
1123, 561.5, 608
1124, 562, 569
1125, 562.5, 558
1126, 563, 550
1127, 563.5, 620
1128, 564, 672
1129, 564.5, 1215
1130, 565, 1321
1131, 565.5, 817
1132, 566, 558
1133, 566.5, 612
1134, 567, 555
1135, 567.5, 564
1136, 568, 608
1137, 568.5, 601
1138, 569, 572
1139, 569.5, 603
1140, 570, 576
1141, 570.5, 605
1142, 571, 584
1143, 571.5, 580
1144, 572, 601
1145, 572.5, 593
1146, 573, 571
1147, 573.5, 603
1148, 574, 572
1149, 574.5, 556
1150, 575, 530
1151, 575.5, 607
1152, 576, 557
1153, 576.5, 564
1154, 577, 536
1155, 577.5, 578
1156, 578, 586
1157, 578.5, 617
1158, 579, 596
1159, 579.5, 573
1160, 580, 574
1161, 580.5, 622
1162, 581, 561
1163, 581.5, 590
1164, 582, 597
1165, 582.5, 559
1166, 583, 562
1167, 583.5, 546
1168, 584, 579
1169, 584.5, 604
1170, 585, 596
1171, 585.5, 603
1172, 586, 609
1173, 586.5, 618
1174, 587, 566
1175, 587.5, 612
1176, 588, 572
1177, 588.5, 557
1178, 589, 585
1179, 589.5, 581
1180, 590, 551
1181, 590.5, 575
1182, 591, 591
1183, 591.5, 576
1184, 592, 587
1185, 592.5, 579
1186, 593, 624
1187, 593.5, 668
1188, 594, 642
1189, 594.5, 575
1190, 595, 539
1191, 595.5, 537
1192, 596, 563
1193, 596.5, 584
1194, 597, 940
1195, 597.5, 2914
1196, 598, 4966
1197, 598.5, 2846
1198, 599, 862
1199, 599.5, 552
1200, 600, 545
1201, 600.5, 507
1202, 601, 510
1203, 601.5, 572
1204, 602, 554
1205, 602.5, 502
1206, 603, 525
1207, 603.5, 492
1208, 604, 491
1209, 604.5, 489
1210, 605, 551
1211, 605.5, 521
1212, 606, 512
1213, 606.5, 557
1214, 607, 540
1215, 607.5, 516
1216, 608, 509
1217, 608.5, 553
1218, 609, 590
1219, 609.5, 503
1220, 610, 510
1221, 610.5, 529
1222, 611, 555
1223, 611.5, 536
1224, 612, 600
1225, 612.5, 808
1226, 613, 1025
1227, 613.5, 827
1228, 614, 543
1229, 614.5, 541
1230, 615, 518
1231, 615.5, 561
1232, 616, 499
1233, 616.5, 523
1234, 617, 550
1235, 617.5, 522
1236, 618, 507
1237, 618.5, 521
1238, 619, 555
1239, 619.5, 562
1240, 620, 551
1241, 620.5, 534
1242, 621, 544
1243, 621.5, 499
1244, 622, 550
1245, 622.5, 624
1246, 623, 653
1247, 623.5, 671
1248, 624, 609
1249, 624.5, 551
1250, 625, 574
1251, 625.5, 504
1252, 626, 474
1253, 626.5, 503
1254, 627, 479
1255, 627.5, 479
1256, 628, 540
1257, 628.5, 560
1258, 629, 580
1259, 629.5, 527
1260, 630, 497
1261, 630.5, 500
1262, 631, 490
1263, 631.5, 499
1264, 632, 573
1265, 632.5, 933
1266, 633, 1334
1267, 633.5, 1061
1268, 634, 637
1269, 634.5, 543
1270, 635, 962
1271, 635.5, 2487
1272, 636, 2982
1273, 636.5, 1499
1274, 637, 590
1275, 637.5, 488
1276, 638, 483
1277, 638.5, 477
1278, 639, 509
1279, 639.5, 459
1280, 640, 513
1281, 640.5, 516
1282, 641, 490
1283, 641.5, 485
1284, 642, 493
1285, 642.5, 484
1286, 643, 508
1287, 643.5, 497
1288, 644, 493
1289, 644.5, 474
1290, 645, 474
1291, 645.5, 467
1292, 646, 522
1293, 646.5, 510
1294, 647, 437
1295, 647.5, 464
1296, 648, 511
1297, 648.5, 479
1298, 649, 517
1299, 649.5, 456
1300, 650, 490
1301, 650.5, 463
1302, 651, 449
1303, 651.5, 469
1304, 652, 487
1305, 652.5, 459
1306, 653, 471
1307, 653.5, 487
1308, 654, 463
1309, 654.5, 461
1310, 655, 468
1311, 655.5, 446
1312, 656, 517
1313, 656.5, 623
1314, 657, 624
1315, 657.5, 530
1316, 658, 486
1317, 658.5, 501
1318, 659, 456
1319, 659.5, 446
1320, 660, 493
1321, 660.5, 457
1322, 661, 464
1323, 661.5, 502
1324, 662, 460
1325, 662.5, 488
1326, 663, 466
1327, 663.5, 481
1328, 664, 467
1329, 664.5, 481
1330, 665, 468
1331, 665.5, 460
1332, 666, 440
1333, 666.5, 445
1334, 667, 451
1335, 667.5, 485
1336, 668, 474
1337, 668.5, 445
1338, 669, 494
1339, 669.5, 503
1340, 670, 503
1341, 670.5, 500
1342, 671, 506
1343, 671.5, 503
1344, 672, 482
1345, 672.5, 480
1346, 673, 476
1347, 673.5, 484
1348, 674, 475
1349, 674.5, 488
1350, 675, 502
1351, 675.5, 475
1352, 676, 453
1353, 676.5, 501
1354, 677, 469
1355, 677.5, 491
1356, 678, 520
1357, 678.5, 473
