Start Time, Nov. 19, 2018 at 04:22:47 PM
Energy calibration,  Offset: 0, Slope: 0.5, Quadratic: 0
Live Time (s), 165281.41
Real Time (s), 165856.62
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1251, 625.5, 1094
1252, 626, 1023
1253, 626.5, 1046
1254, 627, 982
1255, 627.5, 1035
1256, 628, 1059
1257, 628.5, 1068
1258, 629, 1079
1259, 629.5, 1063
1260, 630, 1032
1261, 630.5, 1016
1262, 631, 1011
1263, 631.5, 1044
1264, 632, 1157
1265, 632.5, 1837
1266, 633, 2806
1267, 633.5, 2135
1268, 634, 1273
1269, 634.5, 1112
1270, 635, 1943
1271, 635.5, 5086
1272, 636, 6019
1273, 636.5, 2889
1274, 637, 1225
1275, 637.5, 962
1276, 638, 992
1277, 638.5, 982
1278, 639, 959
1279, 639.5, 970
1280, 640, 1013
1281, 640.5, 982
1282, 641, 974
1283, 641.5, 1041
1284, 642, 1024
1285, 642.5, 969
1286, 643, 1008
1287, 643.5, 1000
1288, 644, 986
1289, 644.5, 997
1290, 645, 992
1291, 645.5, 931
1292, 646, 970
1293, 646.5, 997
1294, 647, 956
1295, 647.5, 934
1296, 648, 1017
1297, 648.5, 1057
1298, 649, 1015
1299, 649.5, 913
1300, 650, 961
1301, 650.5, 970
1302, 651, 926
1303, 651.5, 1004
1304, 652, 919
1305, 652.5, 922
1306, 653, 1006
1307, 653.5, 957
1308, 654, 921
1309, 654.5, 932
1310, 655, 1011
1311, 655.5, 985
1312, 656, 992
